Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 10 a suma 46
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 3
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 6 a suma 25

<0,2> 0.1 3 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 22 a suma 184
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 6 a suma 37
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 13 a suma 56
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 14 a suma 32
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 4 a suma 15
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 6 a suma 15
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 11 a suma 59
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 18 a suma 102
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 13 a suma 24
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 6 a suma 29
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 15
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 7
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 15 a suma 48
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 10 a suma 47
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 6 a suma 25
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 7
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 8
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 11 a suma 65
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 19 a suma 110
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 4 a suma 17
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 7 a suma 18
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 9
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 4
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 4 a suma 32
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 13 a suma 37

<0,2> 0.1 6 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 3 a suma 16
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 11
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 18
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 21 a suma 112
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 4 a suma 20
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 19
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 16
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 2 a suma 15
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 5 a suma 53
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 4 a suma 24
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 6 a suma 18
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 4
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 3 a suma 24
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 4 a suma 22
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 5 a suma 31
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 16
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 14
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 28
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 5 a suma 26
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 1
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 22 a suma 72
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 21
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 3
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 10 a suma 47
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 3

<0,2> 0.1 9 3
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 11 a suma 53
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 12 a suma 42
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 13
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 1
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 3 a suma 11
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 10 a suma 85
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 4 a suma 29
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 20 a suma 205
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 3 a suma 8
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 5 a suma 41
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 6 a suma 35
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 4 a suma 26
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 13 a suma 76
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 2 a suma 12
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 4 a suma 34
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 22
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 3 a suma 6
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 4 a suma 36
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 3 a suma 9
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 7 a suma 43
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 10 a suma 56
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 5 a suma 36
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 1 a suma 6
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 12 a suma 52
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 25 a suma 78
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 25 a suma 290
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 11 a suma 64

<0,2> 0.1 3 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 9
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 6 a suma 23
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 4 a suma 27
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 8
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 14 a suma 68
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 6 a suma 44
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 8 a suma 22
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 2
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 11 a suma 44
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 13
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 11 a suma 141
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 2
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 1 a suma 5
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 2 a suma 23
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 5
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 8 a suma 47
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 20 a suma 123
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 7 a suma 34
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 8 a suma 14
Dla a = 0 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 12
Dla a = 1 , w = 1 , t = 2 najwyzszy wynik wynosi 2 a suma 3
Dla a = 2 , w = 1 , t = 2 najwyzszy wynik wynosi 3 a suma 20
Dla a = 0 , w = 2 , t = 2 najwyzszy wynik wynosi 1 a suma 10
Dla a = 1 , w = 2 , t = 2 najwyzszy wynik wynosi 11 a suma 74
Dla a = 2 , w = 2 , t = 2 najwyzszy wynik wynosi 8 a suma 60


<0,2> 0.1 6 6
Dla a = 0 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 4
Dla a = 1 , w = 0 , t = 0 najwyzszy wynik wynosi 1 a suma 1
Dla a = 2 , w = 0 , t = 0 najwyzszy wynik wynosi 2 a suma 13
Dla a = 0 , w = 1 , t = 0 najwyzszy wynik wynosi 9 a suma 43
Dla a = 1 , w = 1 , t = 0 najwyzszy wynik wynosi 1 a suma 9
Dla a = 2 , w = 1 , t = 0 najwyzszy wynik wynosi 2 a suma 10
Dla a = 0 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 2
Dla a = 1 , w = 2 , t = 0 najwyzszy wynik wynosi 16 a suma 78
Dla a = 2 , w = 2 , t = 0 najwyzszy wynik wynosi 1 a suma 3
Dla a = 0 , w = 0 , t = 1 najwyzszy wynik wynosi 5 a suma 28
Dla a = 1 , w = 0 , t = 1 najwyzszy wynik wynosi 1 a suma 7
Dla a = 2 , w = 0 , t = 1 najwyzszy wynik wynosi 2 a suma 12
Dla a = 0 , w = 1 , t = 1 najwyzszy wynik wynosi 5 a suma 62
Dla a = 1 , w = 1 , t = 1 najwyzszy wynik wynosi 5 a suma 7
Dla a = 2 , w = 1 , t = 1 najwyzszy wynik wynosi 4 a suma 41
Dla a = 0 , w = 2 , t = 1 najwyzszy wynik wynosi 5 a suma 25
Dla a = 1 , w = 2 , t = 1 najwyzszy wynik wynosi 7 a suma 14
Dla a = 2 , w = 2 , t = 1 najwyzszy wynik wynosi 1 a suma 4
Dla a = 0 , w = 0 , t = 2 najwyzszy wynik wynosi 1 a suma 15
Dla a = 1 , w = 0 , t = 2 najwyzszy wynik wynosi 9 a suma 54
Dla a = 2 , w = 0 , t = 2 najwyzszy wynik wynosi 2 a suma 7
